# timestamps [seconds],pts
38723.914059,1541644
38723.946040,1543740
38723.982040,1546099
38724.014053,1548197
38724.046046,1550294
38724.082076,1552655
38724.114071,1554752
38724.150049,1557110
38724.182024,1559205
38724.214035,1561303
38724.250044,1563663
38724.282049,1565760
38724.314035,1567857
38724.350075,1570219
38724.382023,1572312
38724.418026,1574672
38724.450103,1576774
38724.482037,1578867
38724.518022,1581225
38724.550109,1583328
38724.582006,1585418
38724.618057,1587781
38724.650034,1589876
38724.686034,1592236
38724.718047,1594334
38724.750157,1596438
38724.786140,1598796
38724.818054,1600888
38724.850078,1602986
38724.886056,1605344
38724.918021,1607439
38724.954011,1609797
38724.986090,1611900
38725.017980,1613990
38725.053978,1616349
38725.086067,1618452
38725.118072,1620549
38725.153989,1622903
38725.186047,1625004
38725.222109,1627367
38725.254029,1629459
38725.286034,1631557
38725.322015,1633915
38725.354027,1636013
38725.390053,1638374
38725.421992,1640467
38725.454026,1642566
38725.489547,1644894
38725.521531,1646990
38725.553553,1649088
38725.589569,1651449
38725.621551,1653545
38725.657545,1655904
38725.689601,1658004
38725.721563,1660099
38725.757460,1662452
38725.789619,1664559
38725.821574,1666653
38725.857529,1669010
38725.889583,1671110
38725.925629,1673472
38725.957554,1675565
38725.989632,1677667
38726.025507,1680018
38726.057549,1682118
38726.089677,1684223
38726.125511,1686572
38726.157506,1688669
38726.193566,1691032
38726.225543,1693127
38726.257584,1695227
38726.293537,1697583
38726.325511,1699679
38726.357534,1701777
38726.393530,1704136
38726.425531,1706234
38726.461522,1708592
38726.493525,1710690
38726.525521,1712786
38726.561535,1715147
38726.593932,1717270
38726.625532,1719341
38726.661575,1721703
38726.693582,1723800
38726.729483,1726153
38726.761562,1728255
38726.793538,1730351
38726.829590,1732714
38726.861545,1734808
38726.897488,1737163
38726.929595,1739267
38726.961543,1741361
38726.997566,1743722
38727.029561,1745819
38727.061558,1747916
38727.097571,1750276
38727.129644,1752378
38727.165617,1754735
38727.197532,1756827
38727.229590,1758928
38727.265544,1761284
38727.297524,1763380
38727.329908,1765502
38727.365536,1767837
38727.397575,1769936
38727.433516,1772292
38727.465549,1774391
38727.497518,1776486
38727.533501,1778844
38727.565506,1780942
38727.597548,1783042
38727.633442,1785394
38727.665472,1787493
38727.701524,1789856
38727.733527,1791953
38727.765542,1794051
38727.801541,1796410
38727.833544,1798508
38727.865599,1800608
38727.901486,1802960
38727.933610,1805066
38727.969518,1807419
38728.001523,1809516
38728.033540,1811614
38728.069575,1813976
38728.101556,1816072
38728.133523,1818167
38728.169469,1820523
38728.201545,1822625
38728.237463,1824979
38728.269580,1827083
38728.301660,1829186
38728.337515,1831535
38728.369623,1833640
38728.401579,1835734
38728.437518,1838089
38728.469554,1840189
38728.505504,1842545
38728.537556,1844645
38728.569623,1846747
38728.605727,1849113
38728.637525,1851197
38728.673530,1853556
38728.705496,1855651
38728.737529,1857750
38728.773533,1860110
38728.805524,1862206
38728.837502,1864302
38728.873464,1866659
38728.905561,1868762
38728.941520,1871119
38728.973502,1873215
38729.005534,1875314
38729.041479,1877670
38729.073771,1879786
38729.105411,1881859
38729.141467,1884222
38729.173483,1886321
38729.209560,1888685
38729.241595,1890784
38729.273481,1892874
38729.309485,1895233
38729.341541,1897334
38729.373494,1899428
38729.409947,1901817
38729.441565,1903889
38729.477554,1906248
38729.509596,1908348
38729.541515,1910440
38729.577482,1912797
38729.609717,1914909
38729.641508,1916993
38729.677563,1919355
38729.709607,1921455
38729.745525,1923809
38729.777597,1925911
38729.809870,1928026
38729.845542,1930364
38729.877540,1932461
38729.909598,1934562
38729.945537,1936917
38729.977558,1939016
38730.013536,1941373
38730.045567,1943473
38730.077534,1945568
38730.113571,1947929
38730.145585,1950027
38730.181550,1952384
38730.213515,1954479
38730.245508,1956576
38730.281523,1958936
38730.313533,1961034
38730.345563,1963133
38730.381532,1965490
38730.413531,1967587
38730.449540,1969947
38730.481519,1972043
38730.513550,1974142
38730.549837,1976520
38730.581553,1978598
38730.613549,1980695
38730.649554,1983055
38730.681477,1985147
38730.717518,1987509
38730.749577,1989610
38730.781546,1991705
38730.817539,1994064
38730.849687,1996171
38730.881577,1998261
38730.917540,2000617
38730.949581,2002717
38730.985559,2005075
38731.017612,2007176
38731.049560,2009269
38731.085505,2011625
38731.117545,2013725
38731.149554,2015822
38731.185532,2018180
38731.217475,2020274
38731.253527,2022636
38731.285477,2024730
38731.317508,2026829
38731.353515,2029189
38731.385507,2031286
38731.417516,2033383
38731.453617,2035749
38731.485520,2037840
38731.521482,2040197
38731.553692,2042308
38731.585591,2044398
38731.621510,2046752
38731.653587,2048854
38731.689545,2051211
38731.721576,2053310
38731.753588,2055408
38731.789998,2057794
38731.821560,2059862
38731.853552,2061959
38731.889616,2064322
38731.921566,2066416
38731.957470,2068769
38731.989601,2070875
38732.021559,2072969
38732.057510,2075325
38732.089586,2077427
38732.121515,2079520
38732.157859,2081902
38732.189526,2083977
38732.225534,2086337
38732.257563,2088436
38732.289592,2090535
38732.325560,2092892
38732.357479,2094984
38732.389626,2097091
38732.425529,2099443
38732.457525,2101540
38732.493529,2103900
38732.525580,2106000
38732.557633,2108101
38732.593540,2110454
38732.625792,2112568
38732.657530,2114648
38732.693588,2117011
38732.725538,2119105
38732.761521,2121463
38732.793537,2123561
38732.825547,2125659
38732.861521,2128016
38732.893542,2130115
38732.925572,2132214
38732.961565,2134573
38732.993532,2136667
38733.029605,2139032
